ID,SIDE,DEPTH,CHANNEL,SAMPLES,AP_EXPONENT,THETA_POWER,ALPHA_POWER,BETA_POWER,root_mean_square,low_beta,high_beta,z_exp,z_theta,z_alpha,z_beta,z_rms,z_lbeta,z_hbeta
1,L,-0.242,CRAW_01___Central,2564,1.55340092626907,0.154081754693282,0.0733856975700175,0.145418760132336,10.2759838577842,0.0341852874198988,0.197327714064807,0.175410460615713,-0.0238547603385672,-0.806325251732423,1.55683053389735,0.786007197491422,-0.87003926016645,2.51706285597446
1,L,-0.242,CRAW_02___Anterior,2564,1.5601986102043,0.0875489080336217,0.0450815001374649,0.112923100492252,4.59726090716508,0.188862218567965,0.0774848453902533,0.198786644861861,-0.633084932388549,-1.15160767446096,0.689884508665739,-0.510318694817516,0.988892503420922,-0.0103189302213263
1,L,-0.492,CRAW_01___Central,2529,0.955982866782416,0.448850583447726,0.100598905585103,0.0423601232597254,14.185922754395,0.104280462333469,0.0139102377393567,-1.87901789521975,2.67529420551991,-0.474351790338394,-1.19265283071447,1.6785591097959,-0.0276243883823963,-1.35105206869247
1,L,-0.492,CRAW_02___Anterior,2529,1.50595570275403,0.273960267396324,0.00236520445791964,0.11722893997048,4.1817138975006,0.151152131036797,0.101642608940009,0.0122536711774898,1.07385277189381,-1.67270303840365,0.804759247701036,-0.605178816148297,0.535686721543579,0.499147275537497
1,L,-0.743,CRAW_01___Central,2615,2.11356513010894,0.181150132447586,0.0723701185420769,0.0979622164491031,21.2834698746691,0.0715393022267252,0.110478333712335,2.10172856569857,0.224005856849893,-0.818714283008622,0.290745697550166,3.29877093979736,-0.421112816471676,0.685485020155889
1,L,-0.743,CRAW_02___Anterior,2615,1.03687591002228,0.00946012451372411,0.18182479555236,0.0569466658664808,4.46031727299517,0.11301741805557,0.0303868358821755,-1.60083922421573,-1.34813088949842,0.516521458868109,-0.803501009367862,-0.541579874541379,0.0773777240096707,-1.00357495549258
1,L,-0.995,CRAW_01___Central,2552,1.19363842624616,0.103238497125122,0.208648365070253,0.0952771998349367,12.7234192805124,0.0402880358202764,0.120938809708445,-1.06175716375846,-0.489417983783388,0.843741726866718,0.219112608481832,1.34470216039512,-0.796695466994188,0.906087353860875
1,L,-0.995,CRAW_02___Anterior,2552,1.25826579198726,0.359133855454491,0.107401963765366,0.117800436129889,4.24530503243634,0.172749330512295,0.0921576187514333,-0.839513643273745,1.85377310165558,-0.391361399388725,0.820006093874431,-0.590662377249031,0.795245272463516,0.299117088426808
1,L,-1.245,CRAW_02___Anterior,2600,1.28528210837123,0.23170967484406,0.1262076188889,0.0257267244305508,4.54370493756974,0.0534345839759221,0.0129665259557087,-0.746608707495368,0.686971147821705,-0.161951532618109,-1.63641237155043,-0.522544329115554,-0.638698176986754,-1.37095412877989
1,L,-1.497,CRAW_01___Central,2639,1.1703393270721,0.00751002735619709,0.127568480704423,0.0308503110032329,12.9799538253839,0.0268599750185089,0.0327159226324545,-1.14187916417092,-1.3659876036846,-0.145350402493065,-1.49972110067567,1.4032632798018,-0.958076020400004,-0.954456543223004
