ID,SIDE,DEPTH,CHANNEL,AP_EXPONENT,THETA_POWER,ALPHA_POWER,BETA_POWER,z_exp,z_alpha,z_beta,abs_depth
1,L,-0.242,02Anterior,1.69484820966648,0.0515950858198759,0.0741339951212031,0.136736948642934,0.691659700511993,-0.947309248034679,0.610991243296201,0.242
1,L,-0.492,02Anterior,1.43162469963297,0.295806306270489,0.0184330198215619,0.113331166090798,0.0654776153612991,-1.62013374717646,0.207084117964184,0.492
1,L,-0.743,02Anterior,0.943049876503809,0.0197922088622875,0.20995443345499,0.0240872376659607,-1.09679243209837,0.693296107680438,-1.33297370762314,0.743
1,L,-0.995,01Central,1.34560718062409,0.0692523359149749,0.254747210432726,0.13105179862692,-0.139149355100469,1.23435804731597,0.512884179585147,0.995
1,L,-0.995,02Anterior,1.26588615443901,0.340691704445821,0.138903991151419,0.115384605889405,-0.32879760650693,-0.164938025555822,0.242519761453148,0.995
1,L,-1.245,02Anterior,1.49562459953854,0.183353055425319,0.148258569789788,0.0742053600300029,0.217726898744853,-0.0519419845855389,-0.468099111526752,1.245
1,L,-1.497,02Anterior,1.49336322253659,0.0510111427234491,0.122043296632598,0.102432761006292,0.212347311768702,-0.3686021137299,0.019013351324299,1.497
1,L,-1.748,02Anterior,1.30717352240564,0.0455524038744987,0.195519037804551,0.0578173154501661,-0.230579137493897,0.518927745256404,-0.750903070818032,1.748
1,L,-2.001,02Anterior,1.56027777911163,0.100330766575804,0.0971191300080159,0.161864038675718,0.371530268328161,-0.6696666792155,1.04460249643392,2.001
1,L,-2.754,01Central,1.37592896159161,0.370925984554509,0.0624790570266395,0.0276537003509842,-0.0670169075493093,-1.08809184374003,-1.27142824604744,2.754
1,L,-3.004,01Central,1.33824231547232,0.546035828274807,0.112508786120228,0.350475809006471,-0.156669623776325,-0.483771591921939,4.29942372654591,3.004
1,L,-3.004,02Anterior,0.751367276620874,0.540706371695455,0.0409819577892791,0.328286048269758,-1.55278593384342,-1.34776009819286,3.91650115384376,3.004
1,L,-3.005,01Central,1.29416464751386,0.0762310818428875,0.128091467345246,0.0743371571525012,-0.261525934017362,-0.295544911255968,-0.465824724983309,3.005
1,L,-3.005,02Anterior,1.26229133679171,0.201734709326675,0.275555679970851,0.0857316076319822,-0.337349313798716,1.48570819010217,-0.269193839959335,3.005
1,L,-3.256,02Anterior,2.24709113040141,0.0994990170128016,0.00927918648656743,0.0204190946145177,2.00538970727121,-1.73070494087124,-1.39627383920023,3.256
1,L,-3.758,01Central,1.70202202109515,0.0137655324644649,0.0843488143456818,0.105610681602295,0.708725471720311,-0.823922169234679,0.0738538493766849,3.758
1,L,-5.091,01Central,-0.0800321351470568,0.258554283443321,0.0288734269714024,0.0656355987064386,-3.53060097470974,-1.49402174153132,-0.615985115905036,5.091
1,L,-5.091,02Anterior,0.320917626080805,0.382529727613479,0.104459816414597,0.109520540764535,-2.57678207952681,-0.580996891508989,0.141325209121044,5.091
1,L,-5.51,02Anterior,0.522186269552178,0.0449780349374128,0.215061701812919,0.0697382417912039,-2.0979843504474,0.75498794083813,-0.545186937252402,5.51
1,L,0.008,02Anterior,1.77622099631009,0.128007585597891,0.155852683887663,0.17657350852658,0.885237322847214,0.0397890127056551,1.29843975521326,0.008
1,L,0.513,02Anterior,1.60907575908964,0.105468385281059,0.110337691387791,0.0669466262762749,0.487615723042606,-0.509996729239251,-0.59336107520979,0.513
1,L,1.015,02Anterior,1.3061731429251,0.0805448178476228,0.134683360099389,0.122037579214932,-0.232958939013095,-0.215919969020331,0.357328284724632,1.015
1,L,1.267,02Anterior,1.70305207225178,0.0941830035948394,0.198071232323803,0.0154186541160448,0.711175859153365,0.549756271864611,-1.48256505986902,1.267
1,L,1.519,02Anterior,1.55768705456574,0.196010486077413,0.0594573279638803,0.111779234785822,0.365367196883707,-1.12459198278169,0.180302868044026,1.519
1,L,1.769,01Central,1.41137996138586,0.041730234513431,0.0669603542014974,0.111888052911655,0.0173174323772962,-1.03396125606254,0.182180712388317,1.769
1,L,1.769,02Anterior,1.55972536894687,0.229639578500277,0.0919951534846485,0.0850094277152327,0.370216140464796,-0.731560334028598,-0.28165629933223,1.769
1,L,2.271,02Anterior,1.80813133664313,0.0797652741169585,0.0387561028236753,0.147214710681188,0.961148792324494,-1.37464669657535,0.791803089059414,2.271
1,L,3.023,02Anterior,1.3214493959976,0.321388400705501,0.0336029083268792,0.1234798594767,-0.196618279316665,-1.43689328180363,0.382217316875393,3.023
1,L,3.776,02Anterior,1.32176690054765,0.0254437690858388,0.310689942519603,0.087488648276286,-0.195862968131999,1.91010278059029,-0.238873074817154,3.776
1,L,4.027,01Central,2.24913452193855,0.303768858127024,0.0626721355184816,0.0594107357566616,2.0102507288925,-1.08575960559034,-0.723405856657016,4.027
1,L,4.279,02Anterior,1.60545473024827,0.103000784206292,0.193772370310908,0.0787998297534822,0.479001661973398,0.497829359182271,-0.388813616401695,4.279
