ID,SIDE,DEPTH,CHANNEL,SAMPLES,THETA_POWER,ALPHA_POWER,BETA_POWER,low_beta,high_beta,z_theta,z_alpha,z_beta,z_lbeta,z_hbeta
1,L,-0.242,CRAW_01___Central,2564,4.35241034967332,3.79048010911278,3.44688078555182,3.46559683854652,3.43377954845553,-0.466645014772689,-1.20140950629067,-0.691662655889015,-1.35608200604716,-0.144125999761504
1,L,-0.242,CRAW_02___Anterior,2564,4.46445668152453,3.9198004887892,3.57110479581049,3.80857688116821,3.40487433606008,-0.0410769264013178,-0.639574128222189,-0.0537102941037537,0.264911428703176,-0.292030365079
1,L,-0.492,CRAW_01___Central,2529,4.41044222054376,3.77906906242684,3.47960988604464,3.62519858888665,3.38060956811207,-0.246231620216043,-1.25098506232439,-0.523582371610467,-0.601771675048181,-0.416190155148311
1,L,-0.492,CRAW_02___Anterior,2529,4.53441432059697,3.91479293532623,3.61757191397204,3.78907184377045,3.50095196170912,0.224632251535612,-0.661329559965444,0.184921575168456,0.172726655138353,0.199586857739609
1,L,-0.743,CRAW_01___Central,2615,4.97331536781373,4.16467718671667,3.59644190069212,3.80307816079643,3.45058101120673,1.89164157314611,0.424298344967997,0.0764083992662311,0.238923357927822,-0.0581550111860339
1,L,-0.743,CRAW_02___Anterior,2615,4.24491023724144,3.99513455463261,3.57760035626786,3.73244622047955,3.46829739329491,-0.874945907729139,-0.31228353821251,-0.0203523456180071,-0.0948975567299437,0.0324975054821104
1,L,-0.995,CRAW_01___Central,2552,4.13099263762506,3.85670576246671,3.38584453116854,3.46304278384808,3.33180575429286,-1.30762134029016,-0.91369062483488,-1.00511431919679,-1.36815298798102,-0.665913181198089
1,L,-0.995,CRAW_02___Anterior,2552,4.5568423839029,3.92299086107187,3.63517896075815,3.79715540788014,3.52179544777276,0.309817262675913,-0.625713482111347,0.275342557858312,0.210931223109818,0.306240375280682
1,L,-1.245,CRAW_02___Anterior,2600,4.52092223234825,3.98488566441153,3.53894153024997,3.71787096751416,3.416146818402,0.173387359272916,-0.356810078627476,-0.21888473328289,-0.163783166476006,-0.234350479405649
1,L,-1.497,CRAW_01___Central,2639,4.16511155468808,3.79790707781254,3.37211945398881,3.50607215150178,3.27756460868554,-1.17803278462827,-1.169142869139,-1.07559944831359,-1.16478744538285,-0.943458355590455
1,L,-1.497,CRAW_02___Anterior,2639,4.55993519328885,4.14024748352971,3.70963847405611,3.96628172414781,3.5284785328149,0.321564197683334,0.318162934907408,0.657729362686933,1.01025658973412,0.340436887591253
1,L,-1.748,CRAW_01___Central,2563,4.49624680805082,4.16842503318625,3.51651449662134,3.69586728847924,3.39096754232081,0.0796665477611722,0.440580950566948,-0.334058756738034,-0.267777028577475,-0.363189693489019
1,L,-1.748,CRAW_02___Anterior,2563,4.42894785388028,4.15770655956883,3.61101933747453,3.7896330374639,3.48598974748197,-0.175944562415856,0.394014294234593,0.151270820828288,0.175378970665976,0.123027074378202
1,L,-2.001,CRAW_02___Anterior,2605,4.4756382752754,4.07701767802858,3.70570382835131,4.04096220976132,3.4756245469915,0.00139237534985685,0.0434595836814494,0.6375229910287,1.36321175283376,0.0699896367369051
1,L,-2.252,CRAW_02___Anterior,2544,4.86748597345733,4.30265222967197,3.76771128594167,3.9854770585498,3.61527524511597,1.48968630780497,1.02373410765885,0.955962268071016,1.1009776439553,0.784564834790001
1,L,-2.503,CRAW_01___Central,2532,4.32670845808479,3.95556065221556,3.54213743717397,3.70146194903478,3.43379676910861,-0.564264496732904,-0.484213271807185,-0.20247215437836,-0.241335524981944,-0.144037883828321
1,L,-2.503,CRAW_02___Anterior,2532,4.29854475643346,4.12322669947984,3.67027326490133,3.88126387439896,3.52679965044294,-0.671234287489967,0.244215745256333,0.455569344666524,0.608444941376838,0.331846255968458
1,L,-2.754,CRAW_01___Central,2574,4.6930459691924,3.97014853652299,3.59935014128369,3.8266518952493,3.44023891350777,0.827138075087257,-0.420835871310908,0.0913436678199436,0.350337621243404,-0.111074234725678
1,L,-2.754,CRAW_02___Anterior,2574,4.51192496187167,3.98929653311181,3.50061216948512,3.74127651760153,3.33214712580364,0.139214431574021,-0.337646957624969,-0.415725152254541,-0.0531637766761526,-0.664166425770423
1,L,0.008,CRAW_02___Anterior,2574,4.41636203526364,4.05539756564037,3.51931911073919,3.73218402277477,3.37031367231429,-0.223747312231725,-0.0504694942249511,-0.319655661904319,-0.0961367564070371,-0.468872969324244
1,L,0.260,CRAW_01___Central,2590,4.6377472041964,3.8741928860819,3.53555656803528,3.6378266433597,3.46192211380169,0.617105409851108,-0.837717412165264,-0.236268205567529,-0.542088921386999,-0.000124004239595709
1,L,0.260,CRAW_02___Anterior,2590,4.47762451212012,3.85328220247276,3.6491607622389,3.77047400803737,3.56181522526399,0.00893638864414319,-0.928564360346274,0.34714609453435,0.0848295011423399,0.511016583426439
1,L,0.513,CRAW_01___Central,2673,3.9805065589957,3.88428978559311,3.41193904964185,3.45282823379268,3.3828448224576,-1.87918911721517,-0.793851198901774,-0.871105928588278,-1.41642902891963,-0.404752637555388
1,L,0.513,CRAW_02___Anterior,2673,4.48264339696366,4.0573629687307,3.52240003813987,3.74663781187518,3.36284623759744,0.0279988353421593,-0.0419307550790244,-0.303833560302056,-0.0278252095895041,-0.507082901056797
1,L,0.764,CRAW_01___Central,2538,4.63558382719906,3.92684984058586,3.54266308743913,3.69571937890645,3.43333716496247,0.608888592772183,-0.608948056432696,-0.199772677623123,-0.268476079299499,-0.146389620899193
1,L,0.764,CRAW_02___Anterior,2538,4.45774395633236,3.88587717906679,3.58679413022803,3.79251713466291,3.43984912706025,-0.066572822434654,-0.786954731271099,0.0268622773795249,0.189009800579709,-0.113068723343894
1,L,1.015,CRAW_02___Anterior,2532,4.28520037448593,3.92839337303824,3.57826212460696,3.78004108129805,3.44105243405702,-0.721918169970373,-0.602242144022651,-0.0169538345411031,0.130045435068947,-0.1069115515783
1,L,1.267,CRAW_01___Central,2609,4.03092532638764,3.66041629660069,3.49864577999898,3.49950454238853,3.49805643326106,-1.6876913849599,-1.76647474549429,-0.425823544781556,-1.19582730173486,0.184770799946625
1,L,1.519,CRAW_02___Anterior,2619,4.36384793163051,3.91906594363353,3.53759469231971,3.78324040299985,3.3641977200749,-0.423203432985097,-0.642765376626144,-0.225801419008666,0.145166080091442,-0.500167533844443
1,L,1.769,CRAW_01___Central,2547,4.33081426304977,3.87212194230262,3.52836973356343,3.56185982593431,3.50492666890382,-0.548670058777631,-0.846714675273392,-0.273176191515874,-0.901123550236445,0.219924938529738
1,L,1.769,CRAW_02___Anterior,2547,4.51572481361725,3.99512052040538,3.55692564684955,3.68522544607754,3.46711578738997,0.153646815184805,-0.312344510237037,-0.126527308696171,-0.318072540045006,0.0264513754957677
1,L,2.020,CRAW_02___Anterior,2528,4.36348932601632,4.01687014457425,3.50699546893766,3.59345794041364,3.44820098833399,-0.424565468700064,-0.217852765406547,-0.382943720120382,-0.751784434963244,-0.070333291269822
1,L,2.271,CRAW_02___Anterior,2540,4.56019152809695,4.00634116906934,3.57398796997223,3.78768218094372,3.42134924784973,0.322537794163135,-0.26359614280986,-0.0389037541917976,0.166158825997555,-0.207730297029922
1,L,2.522,CRAW_01___Central,2531,4.54255886291831,4.04454579995547,3.65954162584574,3.76872995716896,3.58529356054596,0.25556639501972,-0.0976152410248242,0.400457016002506,0.0765867620431043,0.631152295666953
1,L,2.522,CRAW_02___Anterior,2531,4.48323266846861,4.0711530490255,3.5811619763913,3.71695988650446,3.48881939751436,0.030236973295893,0.0179805674473632,-0.00206164670402206,-0.168089120618313,0.137506040537829
1,L,2.773,CRAW_02___Anterior,2575,4.49307465251192,4.00741550714324,3.56828881974355,3.764411913997,3.43100265376614,0.067618244649403,-0.258928656220105,-0.0681717382230667,0.0561788118335012,-0.158335023413333
1,L,3.023,CRAW_01___Central,2536,4.60640061533075,4.03848922323862,3.4236885556965,3.4304574720377,3.41885361545278,0.498046555535092,-0.12392817853727,-0.810766344302091,-1.52215779861131,-0.220500136624487
1,L,3.023,CRAW_02___Anterior,2536,4.26978534216441,3.90749709729128,3.50548784475031,3.72907145938732,3.34578526286673,-0.780466680473716,-0.693026496913424,-0.390686123613889,-0.110847363991457,-0.594381780052097
1,L,3.274,CRAW_01___Central,2535,4.40110219773404,3.82236962769533,3.27868034527549,3.41138587882483,3.18389067845453,-0.281706370587655,-1.06286475584932,-1.55545595884367,-1.61229402680694,-1.42277616886467
1,L,3.274,CRAW_02___Anterior,2535,4.48497742629051,3.95104471392695,3.53565605995344,3.68151801835114,3.43146894681223,0.0368638145201303,-0.503832870064361,-0.235757264856148,-0.335594597475417,-0.155949060075989
1,L,3.525,CRAW_01___Central,2601,4.36691410820975,3.87110349009069,3.18006008371776,3.31816868395883,3.08527967178761,-0.411557653209218,-0.851139364444328,-2.06192027801697,-2.05285744772379,-1.92735638626126
1,L,3.525,CRAW_02___Anterior,2601,4.59979853126623,3.7816707617917,3.68805887468407,3.73811405688687,3.6537072790547,0.472970890422416,-1.23968191930906,0.546907337563896,-0.0681102091768194,0.981216757280733
