ID,SIDE,DEPTH,CHANNEL,SAMPLES,AP_EXPONENT,THETA_POWER,ALPHA_POWER,BETA_POWER,root_mean_square,low_beta,high_beta,z_exp,z_theta,z_alpha,z_beta,z_rms,z_lbeta,z_hbeta
1,L,-0.242,CRAW_01___Central,2564,1.54022752249214,0.235583310581133,0.0493320980450576,0.170059431062983,10.2759838577842,0.0257663603065504,0.271064580592485,0.150340426586734,0.986770654024468,-1.05025933033385,1.74156943263457,0.93840526953052,-1.04883938668006,2.83555262346551
1,L,-0.492,CRAW_01___Central,2529,0.92805109686173,0.4698464445731,0.0709767677258714,0.0534343695694964,14.185922754395,0.0992046668558513,0.022310567414775,-1.77157390804414,3.61897815411548,-0.782422136615422,-0.924192971491539,1.90770782923243,-0.113258768626875,-0.932784499510878
1,L,-0.743,CRAW_01___Central,2615,2.32027108736839,0.244337683818063,0.0105067322784818,0.151094648143142,21.2834698746691,0.111849080941121,0.178797401462216,2.5992699282878,1.08513579795545,-1.53069526053558,1.30808108405225,3.66724187137562,0.0478270365976089,1.43781100753221
1,L,-0.743,CRAW_02___Anterior,2615,0.943049876503809,0.172638192463705,0.156486886678229,0.0270464531514544,4.46031727299517,0.0819562244910139,-0.0117133854411758,-1.72448557143204,0.27951207185042,0.275703980921466,-1.52735591614188,-0.503341176148013,-0.332998426666456,-1.44820824274867
1,L,-0.995,CRAW_01___Central,2552,1.34560718062409,0.137019355425986,0.199845765273754,0.140239402295779,12.7234192805124,0.0735826994213624,0.186899094307871,-0.460665827797851,-0.12070527518814,0.812238866279288,1.05995683102399,1.54514248018408,-0.439674467115307,1.56054233362915
1,L,-0.995,CRAW_02___Anterior,2552,1.26588615443901,0.348669327639197,0.0319586807722623,0.131036692498641,4.24530503243634,0.157680927437622,0.112385728041354,-0.7109482244759,2.25741813996591,-1.26524285266357,0.849605492476865,-0.556644289227752,0.631710152733044,0.431750557878146
1,L,-1.245,CRAW_02___Anterior,2600,1.49562459953854,0.235127290242576,0.069605976837526,0.0778635885867414,4.54370493756974,0.0973636077711921,0.0644812224797655,0.010310537486246,0.981646757084776,-0.799384686292707,-0.365801037679168,-0.482668761857918,-0.136713274554808,-0.293947590101469
1,L,-1.497,CRAW_01___Central,2639,1.29129658939146,0.132851379136783,0.0877426481381147,0.0512068242708898,12.9799538253839,0.0496536088504751,0.0523032116264767,-0.631172726531768,-0.167537135847093,-0.574956445244101,-0.975109184820567,1.60873927736459,-0.744523453941166,-0.478430444453143
1,L,-1.497,CRAW_02___Anterior,2639,1.49336322253659,0.134109062053061,0.0869197736323429,0.106474055177072,4.89895427620872,0.206406950363932,0.0359331879863466,0.0032109944556738,-0.153405666039824,-0.585138924425278,0.288163943983614,-0.394599842526811,1.25246415410788,-0.726417469864601
1,L,-1.748,CRAW_01___Central,2563,1.84307735898318,0.0664595333703976,0.188185309556185,0.0919004421964259,11.4608678654353,0.0761921661886729,0.102896235401853,1.10113078313034,-0.913523546056893,0.66794912737696,-0.0449530471552036,1.23214671458522,-0.406430692229095,0.287995661485401
1,L,-1.748,CRAW_02___Anterior,2563,1.30717352240564,0.149047796140966,0.196641005943616,0.0440225187365965,5.51737528810459,0.0842922355375307,0.0158337169759426,-0.581327446850356,0.0144476672524549,0.772582278390216,-1.13932476033942,-0.241288733157888,-0.303238390503148,-1.03090133242879
1,L,-2.001,CRAW_02___Anterior,2605,1.56027777911163,0.0861542371823935,0.0740656070120846,0.176587833310664,4.19167949240308,0.345524947710713,0.0606505979380813,0.213287763329293,-0.692231590286405,-0.744199975757043,1.89079267031624,-0.56993845432703,3.02478309848121,-0.351977145002763
1,L,-2.252,CRAW_02___Anterior,2544,1.55936077205676,0.311812066045482,0.137643027344357,0.0792859769003899,7.92694441268081,0.130345018311704,0.0435446479124703,0.21040883998315,1.8432857122698,0.0425247974441285,-0.333288735074257,0.35606114416499,0.283459383389621,-0.611112608514814
1,L,-2.503,CRAW_01___Central,2532,1.28771161718331,0.180634341458494,0.132095317453722,0.109844001920563,9.70036090308874,0.130666096320316,0.0956849777287301,-0.642427667407692,0.369357721045271,-0.0261241156870647,0.365192647914519,0.795704112769951,0.287549814880431,0.178753403859737
1,L,-2.503,CRAW_02___Anterior,2532,1.14553325497313,0.0902758561701642,0.201946813713809,0.0969753444437095,4.17079944093924,0.184755816688052,0.0372846233175566,-1.08879348772605,-0.645920605594722,0.838237827055747,0.0710467511915632,-0.575114772388716,0.976635612059009,-0.70594477934257
1,L,0.008,CRAW_02___Anterior,2574,1.77622099631009,0.098770560321819,0.171046613742005,0.170438889312776,4.32771999514963,0.195318439465985,0.15302320420553,0.891236712723493,-0.550473133352646,0.455870113996009,1.75024291604612,-0.53621301487076,1.11120005956853,1.04736157077116
1,L,0.260,CRAW_01___Central,2590,1.49806555799767,0.441327096033057,0.043168022794375,0.158888422519473,13.2592906660512,0.103553923809185,0.19872926159088,0.0179738725256473,3.2985314758627,-1.12653532074434,1.48622762007636,1.67798893109,-0.0578506213033783,1.73975575806437
1,L,0.513,CRAW_02___Anterior,2673,1.60907575908964,0.128773375848613,0.104854231347224,0.060651050696965,4.70086248618188,0.114160817698324,0.0225767934075364,0.366487941079029,-0.213358049524811,-0.363212930818021,-0.759237369446718,-0.443708251687728,0.0772778260521384,-0.92875148199768
1,L,1.015,CRAW_02___Anterior,2532,1.3061731429251,0.114539600234068,0.084966523618753,0.131615286012046,4.63340577172448,0.192906158644725,0.0899374926218238,-0.584468116081007,-0.373290388381434,-0.609308986153414,0.862830718818058,-0.460431266476864,1.08046837078487,0.0916856166291596
